German,English
anfangen,begin
Habe,Have
hinten,rear
fällt,fall
wen,whom
Sekunden,Seconds
Manchmal,Once in a while
gerettet,saved
Naja,Oh well
Gibt,Gives
jemals,ever
Meinung,opinion
geschehen,happen
Antwort,answer
schlimm,terrible
Eigentlich,actually
findet,find
Scheiß,Shit
gewinnen,to win
Tu,Do
Gedanken,thoughts
erinnere,recall
mögen,to like
Herren,Men
klingt,sound
vorher,before
Auge,eye
hab',have
setzen,set
cool,cool
Anfang,Beginning
Immer,always
danach,thereafter
Monate,months
Lebens,Lifetime
Beste,best
benutzen,use
Nehmen,To take
fühlen,feel
Ärger,trouble
arbeite,work
Rolle,role
gefährlich,dangerous
Dort,there
gelernt,learned
fallen,fall
böse,angry
werd,be
Nähe,vicinity
geschickt,sent
liebt,loving
Tisch,table
Mehr,More
Ziel,target
Raum,space
jedem,each
fliegen,to fly
Wohnung,apartment
Dafür,Therefore
erfahren,Experienced
dumm,stupid
eher,rather
vorsichtig,carefully
herum,hereabouts
Klappe,flap
schicken,send
Laden,load
aufs,onto
Wird,Will
Warten,Wait
großer,greater
arbeitet,is working
Euer,Your
Worte,Words
richtige,right one
Flugzeug,plane
Firma,company
bezahlen,pay
Einer,A
Glaubst,Believe
falls,if
schreiben,to write
tat,did
Darum,Therefore
starb,died
Schluss,Enough
Fenster,window
liegen,lie
wär's,be
Verzeihung,forgiveness
niemanden,no one
neues,new
Weiß,White
benutzt,used
nen,nine
jedes,each
schätze,treasure
Finger,finger
wert,value
rüber,over
halte,hold
Falls,If
besonders,particularly
Daddy,Daddy
Witz,joke
nachdem,after this
nimmt,takes
Kontrolle,control
großartig,Great
Herzen,Heart
gutes,good
gewonnen,won
Bier,beer
kamen,came
Drei,Three
stolz,proud
Egal,All the same
komisch,funny
bitten,ask
Ihrer,Of their
plötzlich,suddenly
Bring,Bring
Informationen,information
bring,bring
neu,New
glaubt,believe
Seid,Are
hörte,heard
rum,rum
Lage,location
sowieso,anyway
bekommt,receives
Ruf,call
dagegen,against it
Richtung,direction
nötig,necessary
Minute,minute
lesen,read
behalten,keep
selber,himself
verkaufen,Selling
geschrieben,written
Entscheidung,decision
unterwegs,On the way
Insel,Island
Hotel,hotel
voller,full of
frage,question
Monat,month
rufe,call
verdient,deserved
gearbeitet,worked
wenigstens,at least
wünschte,wished
tu,tu
schöne,lovely
Selbst,Self
Seele,soul
stand,was standing
Geist,ghost
Gefahr,danger
Gefallen,Please
unmöglich,not possible
gelesen,had read
glaub,belie
Wegen,Because
bezahlt,paid
Schicksal,fate
verstehst,understand
leider,Unfortunately
Monaten,Monthly
Weile,while
verheiratet,married
mussten,had
Agent,agent
rufen,call
jemandem,someone
gib,give
Beispiel,example
kalt,cold
sitzt,sitting
Anruf,Call
Sekunde,second
schneller,more quickly
hey,hey
verdammte,damn
euer,your
hole,go
Denkst,Think
Bauer,Farmer
Karte,map
aller,all
du's,You's
Befehl,command
darfst,durable
bekannt,known
Opfer,victim
unglaublich,incredible
steckt,plugged
Ernst,serious
unbedingt,necessarily
Wen,Whom
Zug,train
perfekt,Perfect
witzig,funny
Amerika,America
Keiner,None
Kamera,camera
führt,leads
passt,fits
schlagen,beat
kriegt,wart
Glauben,Believe
sieh,look
nennt,is called
bin's,be
Gefühle,Feelings
ständig,constant
verändert,changes
tolle,great
Gottes,God
heiß,hot
Partner,partner
Mörder,murderer
folgen,follow
Mich,Me
Computer,computer
dahin,there
ansehen,watch
Außerdem,aside from that
Wovon,About what
nimm,take
klein,small
zerstört,destroyed
suche,seek
I,I
nämlich,namely
Versuch,attempt
schlimmer,worse
Sheriff,sheriff
Unfall,accident
müsste,might
entschuldigen,to apologize
Vorsicht,caution
Nase,nose
sowas,like this
schießen,shoot
alter,age
Geburtstag,date of birth
beschützen,to protect
Zurück,Return
müde,tired
Beziehung,relationship
gestohlen,stolen
stirbt,dying
